Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"New Zealand AIDS Foundation Library","Other","Health","Active","Te Tuuaapapa Mate Aaraikore o Aotearoa","AAF","31-35 Hargreaves Street, Ponsonby, Auckland","PO Box 6663, Wellesley Street, Auckland - 1141","www.nzaf.org.nz","+64 9 303 3124","+64 9 309 3149","librarian@nzaf.org.nz","","NZ AIDS Foundation Library","T","","Vern Keller","Library Manager","librarian@nzaf.org.nz","","","Interloans Contact","Interloans Contact","librarian@nzaf.org.nz","","","","","","","","T","F","T","Non-Charter","F","0","","0","","","","","","","","Auckland","Auckland","-36.8475656517945","174.748599144529",
"Auckland Art Gallery Toi o Tamaki, E.H. McCormick Research Library","Other","Other Special Libraries","Active","","AART","cnr Wellesley and Kitchener Streets, , Auckland","PO Box 5449, Wellesley Street, Auckland - 1141","www.aucklandartgallery.govt.nz","+64 9 307 7714","+64 9 302 1096","library@aucklandartgallery.govt.nz","","Toi o Tamaki, E.H. McCormick Research Library, Auckland Art Gallery","T","","Catherine Hammond","Research Librarian","catherine.hammond@aucklandcity.govt.nz","+64 9 302 1096","+64 9 307 7714","Catherine Hammond","Interloans Librarian","library@aucklandartgallery.govt.nz","","","","","","","","T","T","T","Non-Charter","F","0","","0","","","","","","","","Auckland","Auckland","-36.8515003342328","174.765869180516",
"Baldwins Intellectual Property (Akl) Library","Other","Law","Active","","ABAL","Level 16, HSBC Building, 1 Queen Street, Auckland","PO Box 5999, Wellesley Street, Auckland - 1141","www.baldwins.com","+64 9 373 3137 x 9729","+64 9 373 2123","clare.veber@baldwins.com","No domestic charges; sole charge library","","T","","Clare Veber","Library Manager","clare.veber@baldwins.com","+64 9 373 2123","+64 9 359 7729","Clare Veber","Interloans Contact","clare.veber@baldwins.com","+64 9 359 7729","","","","","","","T","F","T","Charter","F","0","0","0","0","","","0","0","0","0","Auckland","Auckland","-36.7574523543515","174.589528609088",
"Bach Musica NZ","Other","Music Hire","Active","","ABCS","17 Coronation Road, Hillcrest, Auckland","PO Box 5767, Wellesley St, Auckland - 1141","http://www.musica.com","+64  9 309 2224","","admin@bachmusica.com","Other contact details:  Tel: +64 9 480 9811. Email: edbs@xtra.co.nz","","","","ABCS Hire","","","","+64  9 309 2224","0","","","","","","","","","","","","","","","","","","","","","","","","","Auckland","Auckland","","",
"Buddle Findlay (Akl) Library","Other","Law","Active","","ABF","PricewaterhouseCoopers Tower, 188 Quay Street, Auckland","PO Box 1433, , Auckland - 1010","www.buddlefindlay.com","+64 9 358 2555","+64 9 358 2055","BFLibrary@buddlefindlay.com","","","T","NZLLG","Averil McLean","Library Manager","averil.mclean@buddlefindlay.com","+64 9 363 0735","+64 9 358 7035","Averil","Interloans Contact","averil.mclean@buddlefindlay.com","+64 9 3587035","","","","","","","T","T","T","Non-Charter","T","0","0","0","0","","","0","0","0","0","Auckland","Auckland","-36.8426","174.764442151032",
"Bell Gully (Akl) Information Service","Other","Law","Active","","ABG","Vero Centre, 48 Shortland Street, Auckland","PO Box 4199, , Auckland - 1140","","+64 9 916 8800","+64 9 916 8801","therese.duffin@bellgully.com","Welcomes speculative journal requests.","","T","","Therese Duffin","National Information Services Manager","therese.duffin@bellgully.com","+64 9 916 8801","+64 9 916 8740","Therese Duffin","Interloans Contact","bgis@bellgully.com","+64 9 916 8740","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8469","174.768276191094",
"Deane Memorial Library","Tertiary","Theological","Active","","ABI","80 Central Park Drive, Henderson, Auckland","Private Bag 93 104, Henderson, Auckland - 0650","library.laidlaw.ac.nz","+64 9 836 7800","+64 9 836 7801","library@laidlaw.ac.nz","","Laidlaw College Library","T","ANZTLA","Lesley Utting","Library Manager","lutting@laidlaw.ac.nz","+64 9 836 7801","+64 9 837 9786","Jeremy Adams","Interloans Contact","jadams@laidlaw.ac.nz","+64 9 836 7800","","","","","","","T","T","T","Charter","T","15","20","10","15","Reciprocal Arrangements with members of ANZTLA.","","25","35","15","20","Auckland","Auckland","-36.8589631680547","174.635739451718",
"Boffa Miskell","Other","Business","Active","","ABM","Level 9, 190 Willis Street, Wellington","P.O. Box 11-340, , Wellington - 6142","www.boffamiskell.co.nz","+64 4 385 9315","","intranet@boffamiskell.co.nz","","","T","","Merryn Hedley","Contact","intranet@boffamiskell.co.nz","","+64 4 385 9315","Merryn Hedley","Contact","intranet@boffamiskell.co.nz","+64 4 385 9315","","","","","","","","","T","Non-Charter","F","","","","","","","","","","","Wellington","Wellington","","",
"Bank of New Zealand Knowledge Centre Closed 2007","Other","Business","Active","","ABNZ","Level 7, 125 Queen Street, Auckland","PO Box 995, , Auckland - 1015","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","","","","","","","","","","","","","Auckland","Auckland","-36.8466","174.7656",
"The Boston Consulting Group Library","Other","Business","Active","","ABOS","Level 30 , 23-29 Albert Street, Auckland","Level 30, 23-29 Albert Street, , Auckland -","","+64 9 377 2297","+64 9 307 0958","cormack.kathryn@bcg.com","","Boston Consulting Group Library, The","F","","Kate Cormack","Senior Information & Research Analyst","cormack.kathryn@bcg.com","+64 9 307 0958","+64 9 377 2297","Kate Cormack","Senior Information & Research Analyst","cormack.kathryn@bcg.com","+64 9 377 2297","","","","","","","F","F","F","tba","F","0","","0","","","","","","","","Auckland","Auckland","-36.8456","174.7644",
"Babbage Consultants Ltd Library","Other","Business","Active","","ABP","109 Fanshawe Street, , Auckland","PO Box 2027, , Auckland - 1140","","+64 9 379 9980","+64 9 377 1170","admin@babbage.co.nz","Architectural engineering documents & standards","","T","","Tammy Ashley","Library Manager","admin@babbage.co.nz","","","Interloans Contact","Interloans Contact","admin@babbage.co.nz","+64 9 379 9980","","","","","","","T","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8459947744918","174.75646554981",
